epoch,aux_weight,risk_weight,train_aux_loss,train_risk_loss,val_auc_mean,val_auc_ckpt,val_auc_h1yr,val_auc_h2yr,val_auc_h3yr,val_auc_h4yr,val_auc_h5yr,val_acc_view,val_acc_laterality,val_acc_target,val_acc_filter,val_acc_manufacturer,val_acc_bc
0,1.00,0.00,0.3237,0.0000,0.4568,0.5053,0.5157,0.5107,0.4812,0.5136,0.2628,0.9935,0.9823,0.9799,0.9722,0.9990,nan
1,1.00,0.00,0.1904,0.0000,0.3912,0.4689,0.5362,0.4571,0.4296,0.4528,0.0803,0.9943,0.9857,0.9824,0.9763,0.9993,nan
2,1.00,0.00,0.1483,0.0000,0.4258,0.5140,0.5655,0.4922,0.4732,0.5251,0.0730,0.9952,0.9883,0.9884,0.9790,0.9995,nan
3,1.00,0.00,0.1259,0.0000,0.3782,0.4563,0.4956,0.4407,0.4275,0.4613,0.0657,0.9945,0.9902,0.9869,0.9769,0.9971,nan
4,1.00,0.00,0.1092,0.0000,0.4202,0.4997,0.5836,0.4790,0.4495,0.4868,0.1022,0.9952,0.9894,0.9855,0.9777,0.9994,nan
5,1.00,0.00,0.0921,0.0000,0.4076,0.4675,0.4948,0.4596,0.4407,0.4750,0.1679,0.9945,0.9896,0.9911,0.9799,0.9994,nan
6,1.00,0.00,0.0825,0.0000,0.4032,0.4584,0.4823,0.4510,0.4387,0.4616,0.1825,0.9950,0.9900,0.9905,0.9795,0.9995,nan
7,0.96,0.05,0.0789,1.3494,0.4060,0.4856,0.5039,0.4826,0.4484,0.5076,0.0876,0.9921,0.9882,0.9571,0.9545,0.9991,nan
8,0.93,0.10,0.0763,1.3230,0.3979,0.4865,0.5088,0.4888,0.4421,0.5061,0.0438,0.9917,0.9879,0.9575,0.9547,0.9992,nan
9,0.89,0.15,0.0733,1.3047,0.3922,0.4794,0.4984,0.4708,0.4452,0.5030,0.0438,0.9919,0.9885,0.9492,0.9511,0.9981,nan
10,0.85,0.20,0.0697,1.2867,0.4013,0.4943,0.5216,0.4890,0.4478,0.5187,0.0292,0.9922,0.9885,0.9580,0.9553,0.9991,nan
11,0.81,0.25,0.0660,1.2621,0.4096,0.4828,0.4878,0.4825,0.4525,0.5082,0.1168,0.9924,0.9887,0.9580,0.9565,0.9994,nan
12,0.78,0.30,0.0640,1.2408,0.4047,0.4839,0.4914,0.4834,0.4545,0.5065,0.0876,0.9926,0.9887,0.9582,0.9569,0.9993,nan
13,0.74,0.35,0.0606,1.2254,0.3986,0.4874,0.5063,0.4833,0.4521,0.5078,0.0438,0.9923,0.9883,0.9578,0.9545,0.9993,nan
14,0.70,0.40,0.0583,1.2106,0.4048,0.4987,0.5110,0.5006,0.4594,0.5238,0.0292,0.9931,0.9884,0.9572,0.9542,0.9991,nan
15,0.66,0.45,0.0549,1.1794,0.4122,0.4897,0.5066,0.4877,0.4480,0.5165,0.1022,0.9924,0.9886,0.9597,0.9570,0.9993,nan
16,0.62,0.50,0.0529,0.4306,0.8020,0.7580,0.7240,0.7738,0.7767,0.7576,0.9781,0.9820,0.9788,0.9515,0.8046,0.9948,nan
17,0.59,0.55,0.0440,0.3938,0.7842,0.7339,0.7195,0.7424,0.7270,0.7466,0.9854,0.9832,0.9831,0.9418,0.8455,0.9923,nan
18,0.55,0.60,0.0365,0.3703,0.7979,0.7712,0.7633,0.7884,0.7756,0.7573,0.9051,0.9928,0.9813,0.9462,0.8820,0.9982,nan
19,0.51,0.65,0.0768,0.3920,0.8012,0.7789,0.7483,0.7971,0.7895,0.7805,0.8905,0.9917,0.9983,0.9553,0.8933,0.9952,nan
20,0.48,0.70,0.0522,0.3490,0.7920,0.7802,0.7526,0.7956,0.8014,0.7710,0.8394,0.9779,0.9976,0.9167,0.9147,0.9702,nan
21,0.44,0.75,0.0428,0.3168,0.8059,0.7683,0.7366,0.7893,0.7811,0.7662,0.9562,0.9895,0.9986,0.9597,0.9072,0.9954,nan
22,0.40,0.80,0.0334,0.2556,0.7600,0.7000,0.6819,0.7284,0.7112,0.6786,1.0000,0.9851,0.9953,0.9397,0.8311,0.9966,nan
23,0.36,0.85,0.0287,0.1976,0.8255,0.7910,0.7619,0.8011,0.8030,0.7981,0.9635,0.9907,0.9985,0.9555,0.8981,0.9918,nan
24,0.32,0.90,0.0229,0.1772,0.7688,0.7329,0.7258,0.7514,0.7552,0.6990,0.9124,0.9863,0.9983,0.9520,0.8993,0.9936,nan
25,0.29,0.95,0.0187,0.1572,0.8054,0.7640,0.7394,0.7881,0.7735,0.7551,0.9708,0.9249,0.9983,0.9484,0.8338,0.9932,nan
26,0.25,1.00,0.0145,0.0758,0.8244,0.7896,0.7543,0.8087,0.8020,0.7935,0.9635,0.9932,0.9985,0.9361,0.9139,0.9962,nan
27,0.25,1.00,0.0098,0.0478,0.8229,0.7823,0.7423,0.7985,0.8008,0.7875,0.9854,0.9946,0.9986,0.9448,0.9229,0.9983,nan
28,0.25,1.00,0.0088,0.0406,0.8066,0.7728,0.7366,0.7960,0.7894,0.7693,0.9416,0.9948,0.9986,0.9451,0.9071,0.9988,nan
29,0.25,1.00,0.0084,0.0415,0.8243,0.7877,0.7456,0.8091,0.8030,0.7929,0.9708,0.9961,0.9983,0.9527,0.9332,0.9982,nan
30,0.25,1.00,0.0080,0.0381,0.8328,0.7928,0.7459,0.8165,0.8069,0.8019,0.9927,0.9942,0.9987,0.9472,0.9251,0.9928,nan
31,0.25,1.00,0.0078,0.0298,0.8267,0.7924,0.7392,0.8177,0.8097,0.8032,0.9635,0.9947,0.9986,0.9522,0.9268,0.9962,nan
32,0.25,1.00,0.0075,0.0261,0.8143,0.7752,0.7150,0.8070,0.7926,0.7863,0.9708,0.9951,0.9986,0.9519,0.9225,0.9956,nan
33,0.25,1.00,0.0073,0.0219,0.8168,0.7783,0.7138,0.8092,0.7928,0.7975,0.9708,0.9944,0.9987,0.9534,0.9345,0.9961,nan
34,0.25,1.00,0.0073,0.0165,0.8178,0.7722,0.6832,0.8027,0.7986,0.8044,1.0000,0.9935,0.9985,0.9490,0.9156,0.9956,nan
35,0.25,1.00,0.0069,0.0138,0.7740,0.7740,0.7095,0.8016,0.7950,0.7898,0.9416,0.9953,0.9987,0.9532,0.9265,0.9966,nan
36,0.25,1.00,0.0070,0.0139,0.7642,0.7642,0.6623,0.8030,0.8048,0.7866,0.8905,0.9962,0.9986,0.9522,0.9310,0.9943,nan
37,0.25,1.00,0.0067,0.0107,0.7781,0.7781,0.6992,0.8080,0.8008,0.8046,0.8832,0.9950,0.9985,0.9414,0.9119,0.9762,nan
38,0.25,1.00,0.0065,0.0071,0.7794,0.7794,0.6863,0.8146,0.8125,0.8042,0.8613,0.9955,0.9985,0.9525,0.9270,0.9947,nan
39,0.25,1.00,0.0064,0.0075,0.7499,0.7499,0.6789,0.7847,0.7658,0.7702,0.9270,0.9947,0.9978,0.9264,0.9342,0.9828,nan
